"stock","survey","plotyear","Sinclair_Z","low90","high90"
"mackerel","NMFS spring BTS",1997.5,1.09195742768242,0.7424461514618,1.44146870390303
"mackerel","NMFS spring BTS",1998.5,0.57648536339633,0.37230578687785,0.78066493991481
"mackerel","NMFS spring BTS",1999.5,1.03175407475881,0.78956988452819,1.27393826498942
"mackerel","NMFS spring BTS",2000.5,1.4782055223159,1.28054760154738,1.67586344308443
"mackerel","NMFS spring BTS",2001.5,0.845299758383312,0.533113525773211,1.15748599099341
"mackerel","NMFS spring BTS",2002.5,1.47051858762381,0.951064096760938,1.98997307848668
"mackerel","NMFS spring BTS",2003.5,1.33060867201036,0.82058055892853,1.84063678509218
"mackerel","NMFS spring BTS",2004.5,1.25102555608352,0.758798550479429,1.74325256168762
"mackerel","NMFS spring BTS",2005.5,0.747690745614953,0.474791244832414,1.02059024639749
"mackerel","NMFS spring BTS",2006.5,0.961840517312926,0.702808384880313,1.22087264974554
"mackerel","NMFS spring BTS",2007.5,1.73513130329062,1.20127753922327,2.26898506735797
"mackerel","NMFS spring BTS",2008.5,1.84249984177824,1.37606521741445,2.30893446614204
"mackerel","NMFS spring BTS",2009.5,2.14019615062726,1.73290468978846,2.54748761146606
"mackerel","NMFS spring BTS",2010.5,1.68174224260756,1.33441623585164,2.02906824936349
"mackerel","NMFS spring BTS",2011.5,1.78144466710972,1.53259253878274,2.03029679543669
"mackerel","NMFS spring BTS",2012.5,1.98235735385005,1.67483461612512,2.28988009157499
"mackerel","NMFS spring BTS",2013.5,0.669579042276741,-0.0044415956400381,1.34359968019352
"mackerel","NMFS spring BTS",2014.5,1.16022371749003,0.365644346277672,1.95480308870239
"mackerel","NMFS spring BTS",2015.5,1.39614708661774,0.644648107097721,2.14764606613776
"mackerel","NMFS spring BTS",2016.5,2.01445226786707,1.43946433021799,2.58944020551616
"mackerel","NMFS spring BTS",1975.5,1.5866191494572,1.21809402750642,1.95514427140799
"mackerel","NMFS spring BTS",1976.5,0.109922770555467,-0.203473072148282,0.423318613259216
"mackerel","NMFS spring BTS",1977.5,0.424972371487794,-0.133650753173503,0.983595496149091
"mackerel","NMFS spring BTS",1978.5,0.311916193703543,-0.135918506677427,0.759750894084514
"mackerel","NMFS spring BTS",1979.5,-0.519809653679784,-0.909477896564826,-0.130141410794742
"mackerel","NMFS spring BTS",1980.5,-0.413483889366091,-0.845182571828578,0.0182147930963959
"mackerel","NMFS spring BTS",1981.5,0.226239617829296,-0.502756334144864,0.955235569803456
"mackerel","NMFS spring BTS",1982.5,1.12379398470467,0.721273589470713,1.52631437993862
"mackerel","NMFS spring BTS",1983.5,0.421533312048274,-0.0352859726762849,0.878352596772834
"mackerel","NMFS spring BTS",1984.5,-0.0198797015500782,-0.609266712563661,0.569507309463504
"mackerel","NMFS spring BTS",1985.5,-0.26183774497162,-0.593994715297098,0.070319225353857
"mackerel","NMFS spring BTS",1986.5,-0.208095512776337,-0.60343650084404,0.187245475291366
"mackerel","NMFS spring BTS",1987.5,0.969337144496283,0.327150825136306,1.61152346385626
"mackerel","NMFS spring BTS",1988.5,1.60924726705165,1.17173297301153,2.04676156109176
"mackerel","NMFS spring BTS",1989.5,0.791527316034421,0.288519123423216,1.29453550864563
"mackerel","NMFS spring BTS",1990.5,-0.220719560683667,-0.525144689847332,0.0837055684799969
"mackerel","NMFS spring BTS",1991.5,-0.29952915476395,-0.525495739550813,-0.0735625699770876
"mackerel","NMFS spring BTS",1992.5,0.426026459623029,0.237079526268055,0.614973392978002
"mackerel","NMFS spring BTS",1993.5,0.571640093731933,0.413993573484502,0.729286613979364
"mackerel","NMFS spring BTS",1994.5,0.373467083762059,0.170271818213148,0.576662349310971
"mackerel","NMFS spring BTS",1995.5,0.933179359639922,0.618064294977923,1.24829442430192
"mackerel","NMFS spring BTS",1996.5,1.27944216421884,0.988153187355941,1.57073114108174
"mackerel","NMFS spring BTS",1997.5,1.09195742768242,0.7424461514618,1.44146870390303
"mackerel","NMFS spring BTS",1998.5,0.57648536339633,0.37230578687785,0.78066493991481
"mackerel","NMFS spring BTS",1999.5,1.03175407475881,0.78956988452819,1.27393826498942
"mackerel","NMFS spring BTS",2000.5,1.4782055223159,1.28054760154738,1.67586344308443
"mackerel","NMFS spring BTS",2001.5,0.845299758383312,0.533113525773211,1.15748599099341
"mackerel","NMFS spring BTS",2002.5,1.47051858762381,0.951064096760938,1.98997307848668
"mackerel","NMFS spring BTS",2003.5,1.33060867201036,0.82058055892853,1.84063678509218
"mackerel","NMFS spring BTS",2004.5,1.25102555608352,0.758798550479429,1.74325256168762
"mackerel","NMFS spring BTS",2005.5,0.747690745614953,0.474791244832414,1.02059024639749
"mackerel","NMFS spring BTS",2006.5,0.961840517312926,0.702808384880313,1.22087264974554
"mackerel","NMFS spring BTS",2007.5,1.73513130329062,1.20127753922327,2.26898506735797
"mackerel","NMFS spring BTS",2008.5,1.84249984177824,1.37606521741445,2.30893446614204
"mackerel","NMFS spring BTS",2009.5,2.14019615062726,1.73290468978846,2.54748761146606
"mackerel","NMFS spring BTS",2010.5,1.68174224260756,1.33441623585164,2.02906824936349
"mackerel","NMFS spring BTS",2011.5,1.78144466710972,1.53259253878274,2.03029679543669
"mackerel","NMFS spring BTS",2012.5,1.98235735385005,1.67483461612512,2.28988009157499
"mackerel","NMFS spring BTS",2013.5,0.669579042276741,-0.0044415956400381,1.34359968019352
"mackerel","NMFS spring BTS",2014.5,1.16022371749003,0.365644346277672,1.95480308870239
"mackerel","NMFS spring BTS",2015.5,1.39614708661774,0.644648107097721,2.14764606613776
"mackerel","NMFS spring BTS",2016.5,2.01445226786707,1.43946433021799,2.58944020551616
"redfish","NMFS fall BTS",1976.5,0.292556367938397,0.163216349356542,0.421896386520252
"redfish","NMFS fall BTS",1977.5,0.102698057934958,-0.0208046556774839,0.226200771547399
"redfish","NMFS fall BTS",1978.5,0.303952817250575,0.219940235573995,0.387965398927154
